方位角(度),时间,X(度),Y(度)
-75.000,2026-06-05 17:37:09.210,0.670,83.260
-75.000,2026-06-05 17:37:09.708,0.670,83.260
-75.000,2026-06-05 17:37:10.216,0.670,83.260
-75.000,2026-06-05 17:37:10.709,0.670,83.260
-75.000,2026-06-05 17:37:11.207,0.670,83.260
-75.000,2026-06-05 17:37:11.716,0.670,83.260
-75.000,2026-06-05 17:37:12.207,0.670,83.260
-75.000,2026-06-05 17:37:12.718,0.670,83.260
-75.000,2026-06-05 17:37:13.213,0.660,83.260
-75.000,2026-06-05 17:37:13.713,0.660,83.260
-75.000,2026-06-05 17:37:14.212,0.670,83.260
-75.000,2026-06-05 17:37:14.718,0.670,83.260
-75.000,2026-06-05 17:37:15.210,0.670,83.260
-75.000,2026-06-05 17:37:15.718,0.670,83.260
-75.000,2026-06-05 17:37:16.213,0.670,83.260
-75.000,2026-06-05 17:37:16.724,0.670,83.260
-75.000,2026-06-05 17:37:16.988,0.670,83.260
-60.000,2026-06-05 17:37:24.203,0.680,83.250
-60.000,2026-06-05 17:37:24.709,0.680,83.250
-60.000,2026-06-05 17:37:25.217,0.680,83.250
-60.000,2026-06-05 17:37:25.708,0.680,83.250
-60.000,2026-06-05 17:37:26.204,0.680,83.250
-60.000,2026-06-05 17:37:26.716,0.680,83.250
-60.000,2026-06-05 17:37:27.215,0.680,83.250
-60.000,2026-06-05 17:37:27.706,0.680,83.250
-60.000,2026-06-05 17:37:28.219,0.680,83.250
-60.000,2026-06-05 17:37:28.714,0.680,83.250
-60.000,2026-06-05 17:37:29.214,0.680,83.250
-60.000,2026-06-05 17:37:29.723,0.680,83.250
-60.000,2026-06-05 17:37:30.220,0.680,83.250
-60.000,2026-06-05 17:37:30.712,0.680,83.250
-60.000,2026-06-05 17:37:31.222,0.680,83.250
-60.000,2026-06-05 17:37:31.713,0.680,83.250
-60.000,2026-06-05 17:37:32.209,0.680,83.250
-60.000,2026-06-05 17:37:32.716,0.680,83.250
-60.000,2026-06-05 17:37:33.212,0.680,83.250
-60.000,2026-06-05 17:37:33.721,0.680,83.250
-60.000,2026-06-05 17:37:33.984,0.680,83.250
-45.000,2026-06-05 17:37:40.812,0.690,83.250
-45.000,2026-06-05 17:37:41.306,0.690,83.250
-45.000,2026-06-05 17:37:41.813,0.690,83.250
-45.000,2026-06-05 17:37:42.306,0.690,83.250
-45.000,2026-06-05 17:37:42.821,0.690,83.250
