step,t_play_ms,file_row,file_t_ms,az_cmd,el_cmd,orbit_push,ir_t_ms,rInterAz,rInterEl,delta_ms,note
28,1779124558280,3,1779124558200,120.48951377233345,19.201200805512645,0,1779124558360.0,120.5083,19.21589,80.0,
29,1779124558290,3,1779124558200,120.48951377233345,19.201200805512645,0,1779124558369.9998,120.50948,19.216880000000003,79.999755859375,
30,1779124558300,4,1779124558300,120.50120602032804,19.209995955170815,1,1779124558340.0,120.50594,19.213899999999995,40.0,orbit
31,1779124558310,4,1779124558300,120.50120602032804,19.209995955170815,0,1779124558440.0,120.51771,19.223399999999998,130.0,
32,1779124558320,4,1779124558300,120.50120602032804,19.209995955170815,0,1779124558400.0,120.51302,19.21978,80.0,
33,1779124558330,4,1779124558300,120.50120602032804,19.209995955170815,0,1779124558409.9998,120.51419,19.220699999999994,79.999755859375,
34,1779124558340,4,1779124558300,120.50120602032804,19.209995955170815,0,1779124558420.0,120.51537,19.22161,80.0,
35,1779124558350,4,1779124558300,120.50120602032804,19.209995955170815,0,1779124558430.0002,120.51654,19.222499999999997,80.000244140625,
36,1779124558360,4,1779124558300,120.50120602032804,19.209995955170815,0,1779124558440.0,120.51771,19.223399999999998,80.0,
37,1779124558370,4,1779124558300,120.50120602032804,19.209995955170815,0,1779124558449.9998,120.51888,19.224270000000004,79.999755859375,
38,1779124558380,4,1779124558300,120.50120602032804,19.209995955170815,0,1779124558460.0,120.52005,19.225139999999996,80.0,
39,1779124558390,4,1779124558300,120.50120602032804,19.209995955170815,0,1779124558470.0002,120.52122,19.226010000000002,80.000244140625,
40,1779124558400,5,1779124558400,120.51301624585095,19.219783270676373,1,1779124558440.0,120.51771,19.223399999999998,40.0,orbit
41,1779124558410,5,1779124558400,120.51301624585095,19.219783270676373,0,1779124558540.0,120.52937,19.232010000000002,130.0,
42,1779124558420,5,1779124558400,120.51301624585095,19.219783270676373,0,1779124558500.0,120.52471,19.228579999999994,80.0,
43,1779124558430,5,1779124558400,120.51301624585095,19.219783270676373,0,1779124558510.0002,120.52588,19.229439999999997,80.000244140625,
44,1779124558440,5,1779124558400,120.51301624585095,19.219783270676373,0,1779124558520.0,120.52704,19.230289999999997,80.0,
45,1779124558450,5,1779124558400,120.51301624585095,19.219783270676373,0,1779124558529.9998,120.52821,19.231160000000003,79.999755859375,
46,1779124558460,5,1779124558400,120.51301624585095,19.219783270676373,0,1779124558540.0,120.52937,19.232010000000002,80.0,
47,1779124558470,5,1779124558400,120.51301624585095,19.219783270676373,0,1779124558550.0002,120.53054,19.232879999999994,80.000244140625,
48,1779124558480,5,1779124558400,120.51301624585095,19.219783270676373,0,1779124558560.0,120.53171,19.23375,80.0,
49,1779124558490,5,1779124558400,120.51301624585095,19.219783270676373,0,1779124558569.9998,120.53288,19.234629999999996,79.999755859375,
50,1779124558500,6,1779124558500,120.52470605600307,19.22857894507871,1,1779124558540.0,120.52937,19.232010000000002,40.0,orbit
